구분,설비용량(KW),발전소 개수,위도,경도
서울특별시,2016 ,16,37.57,126.97
부산광역시,32062 ,189,35.1,129.03
대구광역시,42099 ,348,35.88,128.65
인천광역시,15312 ,99,37.456009,126.697451
광주광역시,29475 ,205,35.17,126.89
대전광역시,4756 ,92,36.37,127.37
울산광역시,23207 ,74,35.58,129.33
세종특별자치시,7635 ,47,36.49,127.24
경기도,212941 ,"1,959",37.9,127.06
충청북도,168091 ,"1,616",36.64,127.44
충청남도,273529 ,"2,630",36.78,126.49
전라남도,841821 ,"3,037",34.76,127.21
경상북도,439370 ,"4,118",36.44,129.04
경상남도,180626 ,"1,863",35.16,128.04
제주특별자치도,23420 ,45,33.51,126.53
강원도,147921 ,"1,123",37.95,127.75
전라북도,309416 ,"3,288",35.37,127.13
